,entity,country,period_start_date,payment_category,count,amount_reported_cad
0,11272420 Canada Inc.,Canada,1/1/19,Royalties,1,790619.0
1,11272420 Canada Inc.,Canada,1/1/19,Taxes,1,535573.0
2,1192090 B.C. Unlimited Liability Company,Canada,1/1/19,Fees,17,15554231.0
3,1192090 B.C. Unlimited Liability Company,Canada,1/1/19,Royalties,2,853848.0
4,1192090 B.C. Unlimited Liability Company,Canada,1/1/19,Taxes,7,36426322.0
5,1192090 B.C. Unlimited Liability Company,Canada,2/1/16,Bonuses,3,420000.0
6,1192090 B.C. Unlimited Liability Company,Canada,2/1/16,Fees,3,4360000.0
7,1192090 B.C. Unlimited Liability Company,Canada,2/1/16,Infrastructure Improvement Payments,1,110000.0
8,1192090 B.C. Unlimited Liability Company,Canada,2/1/16,Royalties,4,54500000.0
9,1192090 B.C. Unlimited Liability Company,Canada,2/1/16,Taxes,4,95860000.0
10,1192090 B.C. Unlimited Liability Company,Canada,2/1/17,Fees,17,14150862.0
11,1192090 B.C. Unlimited Liability Company,Canada,2/1/17,Infrastructure Improvement Payments,1,30090.0
12,1192090 B.C. Unlimited Liability Company,Canada,2/1/17,Royalties,6,11161521.0
13,1192090 B.C. Unlimited Liability Company,Canada,2/1/17,Taxes,4,80038851.0
14,1192090 B.C. Unlimited Liability Company,Canada,2/1/18,Fees,17,11665458.16
15,1192090 B.C. Unlimited Liability Company,Canada,2/1/18,Royalties,3,34800000.0
16,1192090 B.C. Unlimited Liability Company,Canada,2/1/18,Taxes,5,81530233.4
17,1192090 B.C. Unlimited Liability Company,United Kingdom,1/1/19,Taxes,1,51933.0
18,1745844 Alberta Ltd.,Canada,1/1/18,Taxes,3,1772774.66
19,1745844 Alberta Ltd.,Canada,1/1/19,Fees,34,31215461.1
20,1745844 Alberta Ltd.,Canada,1/1/19,Royalties,9,159110907.48
21,1745844 Alberta Ltd.,Canada,1/1/19,Taxes,29,110215202.03999999
22,1911 Gold Corporation,Canada,1/1/18,Fees,9,3981154.0
23,1911 Gold Corporation,Canada,1/1/18,Taxes,4,335946.0
24,1911 Gold Corporation,Canada,1/1/19,Fees,10,2101624.01
25,1911 Gold Corporation,Canada,1/1/19,Taxes,3,509981.8
26,Abraplata Resource Corp.,Argentina,1/1/17,Fees,6,64217.0
27,Abraplata Resource Corp.,Argentina,1/1/18,Fees,6,18022.0
28,Abraplata Resource Corp.,Argentina,1/1/19,Fees,2,17515.68
29,Abraplata Resource Corp.,Chile,1/1/19,Fees,2,194019.86
30,Accel Energy Canada Limited,Canada,7/1/17,Fees,2,1488000.0
31,Accel Energy Canada Limited,Canada,7/1/17,Royalties,2,24558000.0
32,Acquisition Oil Corp.,Canada,1/1/19,Fees,3,1300000.0
33,Acquisition Oil Corp.,Canada,1/1/19,Royalties,2,11880000.0
34,Acquisition Oil Corp.,Canada,1/1/19,Taxes,3,1440000.0
35,Advantage Lithium Corp.,Argentina,8/1/16,Fees,2,964.0
36,Advantage Lithium Corp.,Argentina,8/1/16,Taxes,5,90484.54000000001
37,Advantage Lithium Corp.,Argentina,8/1/17,Fees,2,101570.0
38,Advantage Lithium Corp.,Argentina,8/1/17,Taxes,2,769552.0
39,Advantage Lithium Corp.,Argentina,8/1/18,Fees,2,187466.0
40,Advantage Lithium Corp.,Argentina,8/1/18,Taxes,2,1084936.0
41,Advantage Lithium Corp.,Argentina,8/1/19,Fees,2,62712.0
42,Advantage Lithium Corp.,Argentina,8/1/19,Taxes,2,361094.0
43,Advantage Lithium Corp.,United States,8/1/16,Taxes,7,491361.02
44,Advantage Oil & Gas Ltd.,Canada,1/1/16,Fees,2,14603157.0
45,Advantage Oil & Gas Ltd.,Canada,1/1/16,Royalties,2,4616904.0
46,Advantage Oil & Gas Ltd.,Canada,1/1/16,Taxes,2,4193596.0
47,Advantage Oil & Gas Ltd.,Canada,1/1/17,Fees,3,6181154.0
48,Advantage Oil & Gas Ltd.,Canada,1/1/17,Royalties,2,13198762.0
49,Advantage Oil & Gas Ltd.,Canada,1/1/17,Taxes,2,5115622.0
50,Advantage Oil & Gas Ltd.,Canada,1/1/18,Fees,3,7282211.7
51,Advantage Oil & Gas Ltd.,Canada,1/1/18,Royalties,2,4887877.42
52,Advantage Oil & Gas Ltd.,Canada,1/1/18,Taxes,2,5733847.68
53,Advantage Oil & Gas Ltd.,Canada,1/1/19,Fees,4,6098014.32
54,Advantage Oil & Gas Ltd.,Canada,1/1/19,Royalties,2,6898646.86
55,Advantage Oil & Gas Ltd.,Canada,1/1/19,Taxes,3,7319278.26
56,Aecon Group Inc.,Canada,1/1/16,Royalties,2,479900.0
57,Aecon Group Inc.,Canada,1/1/16,Taxes,2,802774.0
58,Aecon Group Inc.,Canada,1/1/17,Royalties,2,466624.0
59,Aecon Group Inc.,Canada,1/1/17,Taxes,2,695456.0
60,Aecon Group Inc.,Canada,1/1/18,Royalties,4,790143.08
